mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	slur	TextLine
45	45	176	176	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	571		34	
45	45	353/2	353/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	572		34	
45	45	177	177	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	573			
45	45	178	178	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	574	-los	35	
45	45	359/2	359/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	575		35	
45	45	176	176	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	576			
45	45	177	177	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	577	-lo		
45	45	178	178	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	578	glo-		
45	45	176	176	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	579	su-		
45	45	355/2	355/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	580	-per		
45	45	178	178	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	581	Cæ-		
45	45	176	176	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	582	Cæ-	36	
45	45	355/2	355/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	583		36	
45	45	178	178	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	584			
46	46	180	180	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	585	su-		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	586	-per		
46	46	182	182	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	587	Cæ-		
46	46	183	183	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	588	-los		
46	46	180	180	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	589		35	
46	46	363/2	363/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	590		35	
46	46	182	182	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	591		35	
46	46	367/2	367/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	592		35	
46	46	180	180	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	593			
46	46	182	182	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	594	-ri-		
46	46	180	180	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	595	-los		
46	46	181	181	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	596	et		
46	46	182	182	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	597	su-		
46	46	183	183	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	598	-per		
46	46	180	180	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	599	-los	37	
46	46	363/2	363/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	600		37	
46	46	182	182	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	601		37	
46	46	367/2	367/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	602		37	
47	47	184	184	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	603	su-		
47	47	185	185	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	604	-per		
47	47	186	186	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	605	Cæ-		
47	47	184	184	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	606		35	
47	47	371/2	371/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	607		35	
47	47	186	186	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	608			
47	47	184	184	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	609	-a		
47	47	187	187	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	610	glo-	38	
47	47	184	184	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	611	Cæ-		
47	47	185	185	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	612	-los		
47	47	186	186	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	613	su-		
47	47	187	187	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	614	-per		
47	47	184	184	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	615		37	
47	47	371/2	371/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	616		37	
47	47	186	186	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	617		37	
47	47	375/2	375/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	618		37	
48	48	188	188	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	619	-­los		
48	48	189	189	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	620	et		
48	48	190	190	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	621	su-		
48	48	191	191	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	622	-per		
48	48	188	188	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	623	glo-	39	
48	48	379/2	379/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	624		39	
48	48	190	190	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	625		39	
48	48	383/2	383/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	626		39	
48	48	188	188	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	627	-­-	38	
48	48	377/2	377/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	628		38	
48	48	189	189	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	629		38	
48	48	190	190	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	630		38	
48	48	381/2	381/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	631		38	
48	48	191	191	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	632		38	
48	48	188	188	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	633	Cæ-		
48	48	190	190	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	634	-los		
48	48	191	191	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	635	et		
48	48	188	188	0.0	0	0	Spanner	4/4	5	1	0						4
48	48	188	188	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	636			4
48	48	190	190	0.0	1/2	1/2	Spanner	4/4	5	1	0						
48	48	190	190	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	637	glo-	40	
48	48	383/2	383/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	638		40	
49	49	192	192	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	639	Cæ-		
49	49	193	193	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	640	-los		
49	49	194	194	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	641	su-		
49	49	195	195	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	642	-per		
49	49	192	192	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	643		39	
49	49	387/2	387/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	644		39	
49	49	194	194	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	645		39	
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	646		39	
49	49	192	192	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	647			
49	49	193	193	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	648	-ri-		
49	49	194	194	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	649	-a	41	
49	49	389/2	389/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	650		41	
49	49	195	195	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	651		41	
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	652			
49	49	192	192	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	653	su-		
49	49	193	193	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	654	-per		
49	49	194	194	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	655	Cæ-		
49	49	195	195	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	656	-los		
49	49	192	192	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	657		40	
49	49	387/2	387/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	658		40	
49	49	194	194	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	659		40	
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	660		40	
50	50	196	196	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	661	Cæ-		
50	50	199	199	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	662	-los		
50	50	196	196	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	663		39	
50	50	395/2	395/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	664		39	
50	50	198	198	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	665		39	
50	50	399/2	399/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	666		39	
50	50	196	196	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	667	glo-	42	
50	50	197	197	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	668		42	
50	50	198	198	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	669		42	
50	50	397/2	397/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	670		42	
50	50	199	199	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	671		42	
50	50	196	196	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	672	glo-	43	
50	50	395/2	395/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	673		43	
50	50	198	198	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	674		43	
50	50	399/2	399/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	675		43	
50	50	196	196	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	676		40	
50	50	395/2	395/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	677		40	
50	50	198	198	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	678		40	
50	50	399/2	399/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	679		40	
51	51	200	200	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	680	glo-		
51	51	203	203	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	681	-ri-		
51	51	200	200	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	682		39	
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	683		39	
51	51	202	202	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	684		39	
51	51	200	200	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	685		42	
51	51	401/2	401/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	686		42	
51	51	201	201	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	687		42	
51	51	202	202	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	688		42	
51	51	405/2	405/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	689		42	
51	51	203	203	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	690		42	
51	51	200	200	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	691		43	
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	692		43	
51	51	202	202	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	693		43	
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	694		43	
51	51	200	200	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	695		40	
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	696		40	
51	51	202	202	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	697		40	
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	698		40	
52	52	204	204	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	699	-a		
52	52	206	206	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	700	e-	44	
52	52	204	204	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	701			
52	52	206	206	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	702	-ri-		
52	52	207	207	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	703	-a		
52	52	204	204	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	704		42	
52	52	409/2	409/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	705		42	
52	52	205	205	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	706			
52	52	206	206	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	707	-ri-		
52	52	207	207	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	708	-a		
52	52	204	204	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	709			
52	52	206	206	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	710	-ri-		
52	52	207	207	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	711	-a		
52	52	204	204	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	712			
52	52	206	206	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	713	-ri-		
52	52	207	207	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	714	-a		
53	53	208	208	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	715	-­-	44	
53	53	210	210	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	716			
53	53	208	208	4.0	0	0	Chord	4/4	2	1	1	1	1	717	e-		
53	53	208	208	4.0	0	0	Chord	4/4	3	1	1	1	1	718	e-		
53	53	208	208	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	719	e-		
53	53	210	210	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	720			
53	53	208	208	4.0	0	0	Chord	4/4	5	1	1	1	1	721	e-		
54	54	212	212	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	722	-ius		
54	54	215	215	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	723	quis		
54	54	212	212	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	724	-ius		
54	54	215	215	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	725	quis		
54	54	212	212	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	726	-ius		
54	54	215	215	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	727	quis		
54	54	212	212	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	728	-ius		
54	54	215	215	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	729	quis		
54	54	212	212	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	730	-ius		
54	54	215	215	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	731	quis		
55	55	216	216	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	732	si-		
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	733	-cut		
55	55	218	218	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	734	Do-		
55	55	219	219	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	735	-mi-		
55	55	216	216	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	736	si-		
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	737	-cut		
55	55	218	218	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	738	Do-		
55	55	219	219	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	739	-mi-		
55	55	216	216	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	740	si-		
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	741	-cut		
55	55	218	218	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	742	Do-		
55	55	219	219	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	743	-mi-		
55	55	216	216	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	744	si-		
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	745	-cut		
55	55	218	218	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	746	Do-		
55	55	219	219	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	747	-mi-		
55	55	216	216	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	748	si-		
55	55	435/2	435/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	749	-cut		
55	55	218	218	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	750	Do-		
55	55	219	219	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	751	-mi-		
56	56	220	220	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	752	-nus		
56	56	221	221	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	753	De-		
56	56	223	223	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	754	-us		
56	56	220	220	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	755	-nus		
56	56	221	221	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	756	De-		
56	56	223	223	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	757	-us		
56	56	220	220	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	758	-nus		
56	56	221	221	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	759	De-		
56	56	223	223	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	760	-us		
56	56	220	220	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	761	-nus		
56	56	221	221	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	762	De-		
56	56	223	223	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	763	-us		
56	56	220	220	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	764	-nus		
56	56	221	221	2.0	1/4	1/4	Chord	4/4	5	1	1/2	1/2	1	765	De-		
56	56	223	223	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	766	-us		
57	57	224	224	4.0	0	0	Chord	4/4	1	1	1	1	1	767	no-		
57	57	224	224	4.0	0	0	Chord	4/4	2	1	1	1	1	768	no-		
57	57	224	224	4.0	0	0	Chord	4/4	3	1	1	1	1	769	no-		
57	57	224	224	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	770	no-	45	
57	57	451/2	451/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	771		45	
57	57	226	226	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	772			
57	57	224	224	4.0	0	0	Chord	4/4	5	1	1	1	1	773	no-		
58	58	228	228	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	774	-ster		
58	58	228	228	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	775	-ster		
58	58	228	228	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	776	-ster		
58	58	228	228	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	777	-ster		
58	58	230	230	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	778	qui		
58	58	231	231	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	779	in		
58	58	228	228	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	780	-ster		
58	58	230	230	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	781	qui		
58	58	231	231	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	782	in		
59	59	234	234	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	783	qui		
59	59	235	235	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	784	in		
59	59	232	232	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	785	qui		
59	59	233	233	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	786	in		
59	59	234	234	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	787	al-		
59	59	471/2	471/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	788			
59	59	232	232	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	789	al-	46	
59	59	233	233	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	790		46	
59	59	467/2	467/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	791		46	
59	59	234	234	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	792		46	
59	59	469/2	469/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	793		46	
59	59	235	235	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	794		46	
59	59	471/2	471/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	795		46	
59	59	232	232	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	796	al-		
59	59	234	234	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	797	-tis		
59	59	235	235	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	798	in		
60	60	236	236	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	799	al-		
60	60	238	238	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	800	-tis		
60	60	236	236	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	801	qui		
60	60	237	237	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	802	in		
60	60	238	238	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	803	al-		
60	60	236	236	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	804			
60	60	238	238	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	805	-tis		
60	60	236	236	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	806			
60	60	238	238	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	807	-tis		
60	60	239	239	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	808	in		
60	60	236	236	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	809	al-		
60	60	238	238	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	810	-tis		
61	61	240	240	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	811	ha-	47	
61	61	483/2	483/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	812		47	
61	61	967/4	967/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	813		47	
61	61	242	242	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	814		47	
61	61	487/2	487/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	815		47	
61	61	240	240	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	816	-tis		
61	61	241	241	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	817	in		
61	61	242	242	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	818	al-		
61	61	487/2	487/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	819			
61	61	240	240	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	820	qui		
61	61	243	243	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	821	in		
61	61	240	240	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	822	al-	48	
61	61	481/2	481/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	823		48	
61	61	241	241	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	824		48	
61	61	483/2	483/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	825		48	
61	61	242	242	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	826		48	
61	61	487/2	487/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16	1/16	1	827		48	
61	61	975/4	975/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	828		48	
61	61	240	240	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	829	ha-	49	
61	61	483/2	483/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	830		49	
61	61	242	242	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	831		49	
61	61	487/2	487/2	0.25	7/8	7/8	Chord	4/4	5	1	1/16	1/16	1	832		49	
61	61	975/4	975/4	0.25	15/16	15/16	Chord	4/4	5	1	1/16	1/16	1	833		49	
62	62	244	244	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	834		47	
62	62	245	245	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	835			
62	62	247	247	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	836	-bi-		
62	62	244	244	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	837			
62	62	245	245	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	838	-tis		
62	62	246	246	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	839	ha-		
62	62	495/2	495/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	840	-bi-		
62	62	244	244	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	841	al-		
62	62	245	245	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	842	-tis		
62	62	246	246	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	843	ha-		
62	62	495/2	495/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	844	-bi-		
62	62	244	244	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	845			
62	62	245	245	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	846	-tis		
62	62	246	246	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	847	ha-		
62	62	495/2	495/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	848	-bi-		
62	62	244	244	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	849		49	
62	62	245	245	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	850		49	
62	62	246	246	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	851			
62	62	495/2	495/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	852	-bi-		
63	63	248	248	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	853	-tat		
63	63	248	248	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	854	-tat		
63	63	248	248	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	855	-tat		
63	63	248	248	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	856	-tat		
63	63	248	248	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	857	-tat		
64	64	252	252	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	858	et		
64	64	253	253	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	859	hu-		
