mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm
32	32	285	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	276	vol-			
32	32	287	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	277	ta-			
32	32	284	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	278	l'oc-			
32	32	1139/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	279	chi			
32	32	285	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	280	vol-			
32	32	287	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	281	ta-			
32	32	284	4.0	0	0	Chord	4/4	3	1	1			1	1	282	mi			
32	32	284	4.0	0	0	Chord	4/4	4	1	1			1	1	283				
33	33	288	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	284	mi			
33	33	291	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	285	già			
33	33	288	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	286	mi			
33	33	288	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	287				
33	33	288	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	288				
33	33	291	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	289				
34	34	292	4.0	0	0	Chord	3/1	1	1	1			1	1	290	bel-			
34	34	296	2.0	1	1	Chord	3/1	1	1	1/2			1/2	1	291	va-			
34	34	298	4.0	3/2	3/2	Chord	3/1	1	1	1			1	1	292	non			
34	34	302	2.0	5/2	5/2	Chord	3/1	1	1	1/2			1/2	1	293	son			
34	34	300	4.0	2	2	Chord	3/1	3	1	1			1	1	294	già			
34	34	292	4.0	0	0	Chord	3/1	4	1	1			1	1	295				
34	34	296	2.0	1	1	Chord	3/1	4	1	1/2			1/2	1	296				
34	34	298	2.0	3/2	3/2	Chord	3/1	4	1	1/2			1/2	1	297				
34	34	300	4.0	2	2	Chord	3/1	4	1	1			1	1	298				
35	35	304	4.0	0	0	Chord	3/1	1	1	1			1	1	299	io			
35	35	308	2.0	1	1	Chord	3/1	1	1	1/2			1/2	1	300	nè			
35	35	310	4.0	3/2	3/2	Chord	3/1	1	1	1			1	1	301	ser-			
35	35	314	2.0	5/2	5/2	Chord	3/1	1	1	1/2			1/2	1	302	pe			
35	35	312	4.0	2	2	Chord	3/1	2	1	1			1	1	303	già			
35	35	304	4.0	0	0	Chord	3/1	3	1	1			1	1	304	bel-			
35	35	308	2.0	1	1	Chord	3/1	3	1	1/2			1/2	1	305	va-			
35	35	310	4.0	3/2	3/2	Chord	3/1	3	1	1			1	1	306	non			
35	35	314	2.0	5/2	5/2	Chord	3/1	3	1	1/2			1/2	1	307	son			
35	35	304	4.0	0	0	Chord	3/1	4	1	1			1	1	308				
35	35	308	2.0	1	1	Chord	3/1	4	1	1/2			1/2	1	309				
35	35	310	4.0	3/2	3/2	Chord	3/1	4	1	1			1	1	310				
35	35	314	2.0	5/2	5/2	Chord	3/1	4	1	1/2			1/2	1	311				
36	36	316	3.0	0	0	Chord	3/1	1	1	3/4			1/2	3/2	312	squal-			
36	36	319	1.0	3/4	3/4	Chord	3/1	1	1	1/4			1/4	1	313	li-			
36	36	320	4.0	1	1	Chord	3/1	1	1	1			1	1	314	do			
36	36	324	4.0	2	2	Chord	3/1	1	1	1			1	1	315	già			
36	36	316	4.0	0	0	Chord	3/1	2	1	1			1	1	316	bel-			
36	36	320	2.0	1	1	Chord	3/1	2	1	1/2			1/2	1	317	va			
